"Date Printed: Tuesday, January 21, 2025 6:10:45 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 15-19 | 20-24 | 25-29 | 30-34 | 35-39 | 40-44 | 45-54 | 55-64 | 65+""""",,,,,,,,,
Footnote(s): ,,,,,,,,,
   NA - Not Applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Gonorrhea,2023,Alaska,2,65+,All races/ethnicities,Female,4,7.6,"52,919"
Gonorrhea,2023,Alaska,2,55-64,All races/ethnicities,Female,22,54.2,"40,587"
Gonorrhea,2023,Alaska,2,45-54,All races/ethnicities,Female,57,147.1,"38,745"
Gonorrhea,2023,Alaska,2,40-44,All races/ethnicities,Female,90,384,"23,438"
Gonorrhea,2023,Alaska,2,35-39,All races/ethnicities,Female,150,566.1,"26,495"
Gonorrhea,2023,Alaska,2,30-34,All races/ethnicities,Female,250,894.1,"27,962"
Gonorrhea,2023,Alaska,2,25-29,All races/ethnicities,Female,240,997.2,"24,068"
Gonorrhea,2023,Alaska,2,20-24,All races/ethnicities,Female,248,1169.9,"21,199"
Gonorrhea,2023,Alaska,2,15-19,All races/ethnicities,Female,152,709.9,"21,412"
Gonorrhea,2023,Alaska,2,65+,All races/ethnicities,Male,11,21,"52,392"
Gonorrhea,2023,Alaska,2,55-64,All races/ethnicities,Male,54,121.1,"44,577"
Gonorrhea,2023,Alaska,2,45-54,All races/ethnicities,Male,104,235.7,"44,127"
Gonorrhea,2023,Alaska,2,40-44,All races/ethnicities,Male,114,430.2,"26,502"
Gonorrhea,2023,Alaska,2,35-39,All races/ethnicities,Male,134,453.8,"29,529"
Gonorrhea,2023,Alaska,2,30-34,All races/ethnicities,Male,194,623.8,"31,100"
Gonorrhea,2023,Alaska,2,25-29,All races/ethnicities,Male,178,609,"29,227"
Gonorrhea,2023,Alaska,2,20-24,All races/ethnicities,Male,209,729.8,"28,637"
Gonorrhea,2023,Alaska,2,15-19,All races/ethnicities,Male,61,249.4,"24,462"
Chlamydia,2023,American Samoa,60,65+,All races/ethnicities,Female,0,0,"1,950"
Chlamydia,2023,American Samoa,60,55-64,All races/ethnicities,Female,0,0,"2,492"
Chlamydia,2023,American Samoa,60,45-54,All races/ethnicities,Female,0,0,"2,544"
Chlamydia,2023,American Samoa,60,40-44,All races/ethnicities,Female,7,583.3,"1,200"
Chlamydia,2023,American Samoa,60,35-39,All races/ethnicities,Female,14,1105.8,"1,266"
Chlamydia,2023,American Samoa,60,30-34,All races/ethnicities,Female,51,2894.4,"1,762"
Chlamydia,2023,American Samoa,60,25-29,All races/ethnicities,Female,68,3824.5,"1,778"
Chlamydia,2023,American Samoa,60,20-24,All races/ethnicities,Female,81,4428.6,"1,829"
Chlamydia,2023,American Samoa,60,15-19,All races/ethnicities,Female,46,2280.6,"2,017"
Chlamydia,2023,American Samoa,60,65+,All races/ethnicities,Male,0,0,"1,707"
Chlamydia,2023,American Samoa,60,55-64,All races/ethnicities,Male,0,0,"2,368"
Chlamydia,2023,American Samoa,60,45-54,All races/ethnicities,Male,1,37.8,"2,648"
Chlamydia,2023,American Samoa,60,40-44,All races/ethnicities,Male,4,339.3,"1,179"
Chlamydia,2023,American Samoa,60,35-39,All races/ethnicities,Male,7,599.8,"1,167"
Chlamydia,2023,American Samoa,60,30-34,All races/ethnicities,Male,17,1067.8,"1,592"
Chlamydia,2023,American Samoa,60,25-29,All races/ethnicities,Male,18,1112.5,"1,618"
Chlamydia,2023,American Samoa,60,20-24,All races/ethnicities,Male,22,1198.9,"1,835"
Chlamydia,2023,American Samoa,60,15-19,All races/ethnicities,Male,3,142.5,"2,105"
Gonorrhea,2023,American Samoa,60,65+,All races/ethnicities,Female,0,0,"1,950"
Gonorrhea,2023,American Samoa,60,55-64,All races/ethnicities,Female,0,0,"2,492"
Gonorrhea,2023,American Samoa,60,45-54,All races/ethnicities,Female,0,0,"2,544"
Gonorrhea,2023,American Samoa,60,40-44,All races/ethnicities,Female,0,0,"1,200"
Gonorrhea,2023,American Samoa,60,35-39,All races/ethnicities,Female,6,473.9,"1,266"
Gonorrhea,2023,American Samoa,60,30-34,All races/ethnicities,Female,1,56.8,"1,762"
Gonorrhea,2023,American Samoa,60,25-29,All races/ethnicities,Female,4,225,"1,778"
Gonorrhea,2023,American Samoa,60,20-24,All races/ethnicities,Female,13,710.8,"1,829"
Gonorrhea,2023,American Samoa,60,15-19,All races/ethnicities,Female,7,347.1,"2,017"
Gonorrhea,2023,American Samoa,60,65+,All races/ethnicities,Male,0,0,"1,707"
Gonorrhea,2023,American Samoa,60,55-64,All races/ethnicities,Male,0,0,"2,368"
Gonorrhea,2023,American Samoa,60,45-54,All races/ethnicities,Male,0,0,"2,648"
Gonorrhea,2023,American Samoa,60,40-44,All races/ethnicities,Male,1,84.8,"1,179"
Gonorrhea,2023,American Samoa,60,35-39,All races/ethnicities,Male,0,0,"1,167"
Gonorrhea,2023,American Samoa,60,30-34,All races/ethnicities,Male,0,0,"1,592"
Gonorrhea,2023,American Samoa,60,25-29,All races/ethnicities,Male,1,61.8,"1,618"
Gonorrhea,2023,American Samoa,60,20-24,All races/ethnicities,Male,5,272.5,"1,835"
Gonorrhea,2023,American Samoa,60,15-19,All races/ethnicities,Male,1,47.5,"2,105"
Chlamydia,2023,Arizona,4,65+,All races/ethnicities,Female,19,2.5,"771,648"
Chlamydia,2023,Arizona,4,55-64,All races/ethnicities,Female,164,36.3,"451,318"
Chlamydia,2023,Arizona,4,45-54,All races/ethnicities,Female,570,132.7,"429,431"
Chlamydia,2023,Arizona,4,40-44,All races/ethnicities,Female,690,302.6,"228,004"
Chlamydia,2023,Arizona,4,35-39,All races/ethnicities,Female,"1,338",577.6,"231,656"
Chlamydia,2023,Arizona,4,30-34,All races/ethnicities,Female,"2,614",1041.3,"251,032"
Chlamydia,2023,Arizona,4,25-29,All races/ethnicities,Female,"4,751",1937.6,"245,200"
Chlamydia,2023,Arizona,4,20-24,All races/ethnicities,Female,"9,299",3799,"244,777"
Chlamydia,2023,Arizona,4,15-19,All races/ethnicities,Female,"6,128",2538,"241,446"
Chlamydia,2023,Arizona,4,65+,All races/ethnicities,Male,84,12.7,"662,871"
Chlamydia,2023,Arizona,4,55-64,All races/ethnicities,Male,303,70.8,"428,260"
Chlamydia,2023,Arizona,4,45-54,All races/ethnicities,Male,727,169.3,"429,477"
Chlamydia,2023,Arizona,4,40-44,All races/ethnicities,Male,731,308.5,"236,928"
Chlamydia,2023,Arizona,4,35-39,All races/ethnicities,Male,"1,258",508.7,"247,289"
Chlamydia,2023,Arizona,4,30-34,All races/ethnicities,Male,"2,186",816,"267,887"
Chlamydia,2023,Arizona,4,25-29,All races/ethnicities,Male,"3,183",1210.7,"262,910"
Chlamydia,2023,Arizona,4,20-24,All races/ethnicities,Male,"4,426",1700,"260,351"
Chlamydia,2023,Arizona,4,15-19,All races/ethnicities,Male,"2,340",916.8,"255,240"
Gonorrhea,2023,Arizona,4,65+,All races/ethnicities,Female,9,1.2,"771,648"
Gonorrhea,2023,Arizona,4,55-64,All races/ethnicities,Female,75,16.6,"451,318"
Gonorrhea,2023,Arizona,4,45-54,All races/ethnicities,Female,258,60.1,"429,431"
Gonorrhea,2023,Arizona,4,40-44,All races/ethnicities,Female,286,125.4,"228,004"
Gonorrhea,2023,Arizona,4,35-39,All races/ethnicities,Female,498,215,"231,656"
Gonorrhea,2023,Arizona,4,30-34,All races/ethnicities,Female,736,293.2,"251,032"
Gonorrhea,2023,Arizona,4,25-29,All races/ethnicities,Female,984,401.3,"245,200"
Gonorrhea,2023,Arizona,4,20-24,All races/ethnicities,Female,"1,425",582.2,"244,777"
Gonorrhea,2023,Arizona,4,15-19,All races/ethnicities,Female,927,383.9,"241,446"
Gonorrhea,2023,Arizona,4,65+,All races/ethnicities,Male,65,9.8,"662,871"
Gonorrhea,2023,Arizona,4,55-64,All races/ethnicities,Male,348,81.3,"428,260"
Gonorrhea,2023,Arizona,4,45-54,All races/ethnicities,Male,638,148.6,"429,477"
Gonorrhea,2023,Arizona,4,40-44,All races/ethnicities,Male,717,302.6,"236,928"
Gonorrhea,2023,Arizona,4,35-39,All races/ethnicities,Male,"1,087",439.6,"247,289"
Gonorrhea,2023,Arizona,4,30-34,All races/ethnicities,Male,"1,727",644.7,"267,887"
Gonorrhea,2023,Arizona,4,25-29,All races/ethnicities,Male,"1,779",676.7,"262,910"
Gonorrhea,2023,Arizona,4,20-24,All races/ethnicities,Male,"1,799",691,"260,351"
Gonorrhea,2023,Arizona,4,15-19,All races/ethnicities,Male,759,297.4,"255,240"
Chlamydia,2023,Arkansas,5,65+,All races/ethnicities,Female,10,3.3,"303,200"
Chlamydia,2023,Arkansas,5,55-64,All races/ethnicities,Female,35,18.2,"191,999"
Chlamydia,2023,Arkansas,5,45-54,All races/ethnicities,Female,151,82.9,"182,075"
Chlamydia,2023,Arkansas,5,40-44,All races/ethnicities,Female,233,240.5,"96,868"
Chlamydia,2023,Arkansas,5,35-39,All races/ethnicities,Female,446,459.8,"96,999"
Chlamydia,2023,Arkansas,5,30-34,All races/ethnicities,Female,929,904.7,"102,682"
Chlamydia,2023,Arkansas,5,25-29,All races/ethnicities,Female,"1,963",2029.9,"96,706"
Chlamydia,2023,Arkansas,5,20-24,All races/ethnicities,Female,"4,451",4446.8,"100,095"
Chlamydia,2023,Arkansas,5,15-19,All races/ethnicities,Female,"4,094",4002.2,"102,294"
Chlamydia,2023,Arkansas,5,65+,All races/ethnicities,Male,11,4.4,"248,094"
Chlamydia,2023,Arkansas,5,55-64,All races/ethnicities,Male,45,24.5,"183,592"
Chlamydia,2023,Arkansas,5,45-54,All races/ethnicities,Male,147,81.8,"179,761"
Chlamydia,2023,Arkansas,5,40-44,All races/ethnicities,Male,172,176.8,"97,266"
Chlamydia,2023,Arkansas,5,35-39,All races/ethnicities,Male,290,300.7,"96,433"
Chlamydia,2023,Arkansas,5,30-34,All races/ethnicities,Male,572,559.2,"102,290"
Chlamydia,2023,Arkansas,5,25-29,All races/ethnicities,Male,995,1008.2,"98,688"
Chlamydia,2023,Arkansas,5,20-24,All races/ethnicities,Male,"1,772",1688.1,"104,967"
Chlamydia,2023,Arkansas,5,15-19,All races/ethnicities,Male,"1,260",1173.6,"107,364"
Gonorrhea,2023,Arkansas,5,65+,All races/ethnicities,Female,5,1.6,"303,200"
Gonorrhea,2023,Arkansas,5,55-64,All races/ethnicities,Female,14,7.3,"191,999"
Gonorrhea,2023,Arkansas,5,45-54,All races/ethnicities,Female,93,51.1,"182,075"
Gonorrhea,2023,Arkansas,5,40-44,All races/ethnicities,Female,104,107.4,"96,868"
Gonorrhea,2023,Arkansas,5,35-39,All races/ethnicities,Female,186,191.8,"96,999"
Gonorrhea,2023,Arkansas,5,30-34,All races/ethnicities,Female,319,310.7,"102,682"
Gonorrhea,2023,Arkansas,5,25-29,All races/ethnicities,Female,494,510.8,"96,706"
Gonorrhea,2023,Arkansas,5,20-24,All races/ethnicities,Female,871,870.2,"100,095"
Gonorrhea,2023,Arkansas,5,15-19,All races/ethnicities,Female,759,742,"102,294"
Gonorrhea,2023,Arkansas,5,65+,All races/ethnicities,Male,26,10.5,"248,094"
Gonorrhea,2023,Arkansas,5,55-64,All races/ethnicities,Male,70,38.1,"183,592"
Gonorrhea,2023,Arkansas,5,45-54,All races/ethnicities,Male,178,99,"179,761"
Gonorrhea,2023,Arkansas,5,40-44,All races/ethnicities,Male,179,184,"97,266"
Gonorrhea,2023,Arkansas,5,35-39,All races/ethnicities,Male,258,267.5,"96,433"
Gonorrhea,2023,Arkansas,5,30-34,All races/ethnicities,Male,427,417.4,"102,290"
Gonorrhea,2023,Arkansas,5,25-29,All races/ethnicities,Male,583,590.8,"98,688"
Gonorrhea,2023,Arkansas,5,20-24,All races/ethnicities,Male,836,796.4,"104,967"
Gonorrhea,2023,Arkansas,5,15-19,All races/ethnicities,Male,483,449.9,"107,364"
Chlamydia,2023,California,6,65+,All races/ethnicities,Female,179,5.2,"3,457,920"
Chlamydia,2023,California,6,55-64,All races/ethnicities,Female,"1,022",43.3,"2,358,266"
Chlamydia,2023,California,6,45-54,All races/ethnicities,Female,"3,297",136.6,"2,412,740"
Chlamydia,2023,California,6,40-44,All races/ethnicities,Female,"3,585",276.1,"1,298,587"
Chlamydia,2023,California,6,35-39,All races/ethnicities,Female,"6,441",474,"1,358,753"
Chlamydia,2023,California,6,30-34,All races/ethnicities,Female,"12,792",880.7,"1,452,526"
Chlamydia,2023,California,6,25-29,All races/ethnicities,Female,"23,107",1751.4,"1,319,362"
Chlamydia,2023,California,6,20-24,All races/ethnicities,Female,"40,941",3331.8,"1,228,809"
Chlamydia,2023,California,6,15-19,All races/ethnicities,Female,"21,207",1664.7,"1,273,942"
Chlamydia,2023,California,6,65+,All races/ethnicities,Male,629,22,"2,854,013"
Chlamydia,2023,California,6,55-64,All races/ethnicities,Male,"2,543",109.7,"2,318,062"
Chlamydia,2023,California,6,45-54,All races/ethnicities,Male,"4,983",204.7,"2,434,608"
Chlamydia,2023,California,6,40-44,All races/ethnicities,Male,"5,097",377.5,"1,350,234"
Chlamydia,2023,California,6,35-39,All races/ethnicities,Male,"8,300",575.5,"1,442,186"
Chlamydia,2023,California,6,30-34,All races/ethnicities,Male,"13,045",854.9,"1,525,991"
Chlamydia,2023,California,6,25-29,All races/ethnicities,Male,"16,040",1167.5,"1,373,878"
Chlamydia,2023,California,6,20-24,All races/ethnicities,Male,"18,687",1444,"1,294,089"
Chlamydia,2023,California,6,15-19,All races/ethnicities,Male,"7,146",535.5,"1,334,497"
Gonorrhea,2023,California,6,65+,All races/ethnicities,Female,75,2.2,"3,457,920"
Gonorrhea,2023,California,6,55-64,All races/ethnicities,Female,373,15.8,"2,358,266"
Gonorrhea,2023,California,6,45-54,All races/ethnicities,Female,"1,099",45.5,"2,412,740"
Gonorrhea,2023,California,6,40-44,All races/ethnicities,Female,"1,164",89.6,"1,298,587"
Gonorrhea,2023,California,6,35-39,All races/ethnicities,Female,"1,911",140.6,"1,358,753"
Gonorrhea,2023,California,6,30-34,All races/ethnicities,Female,"3,073",211.6,"1,452,526"
Gonorrhea,2023,California,6,25-29,All races/ethnicities,Female,"4,040",306.2,"1,319,362"
