"Date Printed: Tuesday, November 14, 2023 1:25:46 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+""""",,,,,,,,,
Footnote(s): Data for 2022 and 2023 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,
NA - Not applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Gonorrhea,2021,Kansas,20,25-34,All races/ethnicities,Female,874,476.7,"183,347"
Gonorrhea,2021,Kansas,20,13-24,All races/ethnicities,Female,"1,449",599.1,"241,844"
Gonorrhea,2021,Kansas,20,55+,All races/ethnicities,Male,70,17.3,"404,649"
Gonorrhea,2021,Kansas,20,45-54,All races/ethnicities,Male,158,95,"166,257"
Gonorrhea,2021,Kansas,20,35-44,All races/ethnicities,Male,450,235.1,"191,448"
Gonorrhea,2021,Kansas,20,25-34,All races/ethnicities,Male,"1,022",525.3,"194,551"
Gonorrhea,2021,Kansas,20,13-24,All races/ethnicities,Male,"1,129",433.4,"260,512"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,55+,All races/ethnicities,Female,14,3.1,"448,623"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,45-54,All races/ethnicities,Female,73,44.8,"162,811"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,35-44,All races/ethnicities,Female,315,172.4,"182,720"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,25-34,All races/ethnicities,Female,824,447.9,"183,986"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,13-24,All races/ethnicities,Female,"1,574",653.4,"240,902"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,55+,All races/ethnicities,Male,79,19.6,"402,077"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,45-54,All races/ethnicities,Male,151,90.3,"167,257"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,35-44,All races/ethnicities,Male,417,220.3,"189,269"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,25-34,All races/ethnicities,Male,"1,011",518,"195,189"
Gonorrhea,2020 (COVID-19 Pandemic),Kansas,20,13-24,All races/ethnicities,Male,"1,164",449.5,"258,936"
Gonorrhea,2019,Kansas,20,55+,All races/ethnicities,Female,9,2,"451,674"
Gonorrhea,2019,Kansas,20,45-54,All races/ethnicities,Female,60,36.6,"163,884"
Gonorrhea,2019,Kansas,20,35-44,All races/ethnicities,Female,264,147.9,"178,452"
Gonorrhea,2019,Kansas,20,25-34,All races/ethnicities,Female,740,399.4,"185,261"
Gonorrhea,2019,Kansas,20,13-24,All races/ethnicities,Female,"1,389",585.9,"237,091"
Gonorrhea,2019,Kansas,20,55+,All races/ethnicities,Male,67,16.9,"395,318"
Gonorrhea,2019,Kansas,20,45-54,All races/ethnicities,Male,139,84.7,"164,077"
Gonorrhea,2019,Kansas,20,35-44,All races/ethnicities,Male,338,185.1,"182,577"
Gonorrhea,2019,Kansas,20,25-34,All races/ethnicities,Male,905,457.9,"197,661"
Gonorrhea,2019,Kansas,20,13-24,All races/ethnicities,Male,"1,032",404.1,"255,388"
Gonorrhea,2018,Kansas,20,55+,All races/ethnicities,Female,18,4,"445,325"
Gonorrhea,2018,Kansas,20,45-54,All races/ethnicities,Female,63,37.6,"167,766"
Gonorrhea,2018,Kansas,20,35-44,All races/ethnicities,Female,230,130.6,"176,047"
Gonorrhea,2018,Kansas,20,25-34,All races/ethnicities,Female,796,427.7,"186,130"
Gonorrhea,2018,Kansas,20,13-24,All races/ethnicities,Female,"1,502",632.6,"237,449"
Gonorrhea,2018,Kansas,20,55+,All races/ethnicities,Male,67,17.2,"388,849"
Gonorrhea,2018,Kansas,20,45-54,All races/ethnicities,Male,161,95.9,"167,918"
Gonorrhea,2018,Kansas,20,35-44,All races/ethnicities,Male,401,222.2,"180,460"
Gonorrhea,2018,Kansas,20,25-34,All races/ethnicities,Male,965,487.8,"197,809"
Gonorrhea,2018,Kansas,20,13-24,All races/ethnicities,Male,"1,046",408.2,"256,272"
Chlamydia,2021,Kansas,20,55+,All races/ethnicities,Female,25,5.5,"451,042"
Chlamydia,2021,Kansas,20,45-54,All races/ethnicities,Female,114,70.6,"161,549"
Chlamydia,2021,Kansas,20,35-44,All races/ethnicities,Female,560,302.9,"184,854"
Chlamydia,2021,Kansas,20,25-34,All races/ethnicities,Female,"2,119",1155.7,"183,347"
Chlamydia,2021,Kansas,20,13-24,All races/ethnicities,Female,"7,112",2940.7,"241,844"
Chlamydia,2021,Kansas,20,55+,All races/ethnicities,Male,47,11.6,"404,649"
Chlamydia,2021,Kansas,20,45-54,All races/ethnicities,Male,133,80,"166,257"
Chlamydia,2021,Kansas,20,35-44,All races/ethnicities,Male,423,220.9,"191,448"
Chlamydia,2021,Kansas,20,25-34,All races/ethnicities,Male,"1,482",761.8,"194,551"
Chlamydia,2021,Kansas,20,13-24,All races/ethnicities,Male,"2,825",1084.4,"260,512"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,55+,All races/ethnicities,Female,19,4.2,"448,623"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,45-54,All races/ethnicities,Female,84,51.6,"162,811"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,35-44,All races/ethnicities,Female,468,256.1,"182,720"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,25-34,All races/ethnicities,Female,"2,181",1185.4,"183,986"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,13-24,All races/ethnicities,Female,"7,190",2984.6,"240,902"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,55+,All races/ethnicities,Male,26,6.5,"402,077"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,45-54,All races/ethnicities,Male,94,56.2,"167,257"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,35-44,All races/ethnicities,Male,358,189.1,"189,269"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,25-34,All races/ethnicities,Male,"1,392",713.2,"195,189"
Chlamydia,2020 (COVID-19 Pandemic),Kansas,20,13-24,All races/ethnicities,Male,"2,794",1079,"258,936"
Chlamydia,2019,Kansas,20,55+,All races/ethnicities,Female,26,5.8,"451,674"
Chlamydia,2019,Kansas,20,45-54,All races/ethnicities,Female,94,57.4,"163,884"
Chlamydia,2019,Kansas,20,35-44,All races/ethnicities,Female,504,282.4,"178,452"
Chlamydia,2019,Kansas,20,25-34,All races/ethnicities,Female,"2,254",1216.7,"185,261"
Chlamydia,2019,Kansas,20,13-24,All races/ethnicities,Female,"7,490",3159.1,"237,091"
Chlamydia,2019,Kansas,20,55+,All races/ethnicities,Male,38,9.6,"395,318"
Chlamydia,2019,Kansas,20,45-54,All races/ethnicities,Male,101,61.6,"164,077"
Chlamydia,2019,Kansas,20,35-44,All races/ethnicities,Male,373,204.3,"182,577"
Chlamydia,2019,Kansas,20,25-34,All races/ethnicities,Male,"1,413",714.9,"197,661"
Chlamydia,2019,Kansas,20,13-24,All races/ethnicities,Male,"2,983",1168,"255,388"
Chlamydia,2018,Kansas,20,55+,All races/ethnicities,Female,17,3.8,"445,325"
Chlamydia,2018,Kansas,20,45-54,All races/ethnicities,Female,82,48.9,"167,766"
Chlamydia,2018,Kansas,20,35-44,All races/ethnicities,Female,405,230.1,"176,047"
Chlamydia,2018,Kansas,20,25-34,All races/ethnicities,Female,"2,095",1125.6,"186,130"
Chlamydia,2018,Kansas,20,13-24,All races/ethnicities,Female,"7,187",3026.8,"237,449"
Chlamydia,2018,Kansas,20,55+,All races/ethnicities,Male,43,11.1,"388,849"
Chlamydia,2018,Kansas,20,45-54,All races/ethnicities,Male,112,66.7,"167,918"
Chlamydia,2018,Kansas,20,35-44,All races/ethnicities,Male,329,182.3,"180,460"
Chlamydia,2018,Kansas,20,25-34,All races/ethnicities,Male,"1,358",686.5,"197,809"
Chlamydia,2018,Kansas,20,13-24,All races/ethnicities,Male,"2,595",1012.6,"256,272"
HIV diagnoses,2021,Kansas,20,55+,All races/ethnicities,Female,4,0.9,"451,042"
HIV diagnoses,2021,Kansas,20,45-54,All races/ethnicities,Female,4,2.5,"161,549"
HIV diagnoses,2021,Kansas,20,35-44,All races/ethnicities,Female,5,2.7,"184,854"
HIV diagnoses,2021,Kansas,20,25-34,All races/ethnicities,Female,8,4.4,"183,347"
HIV diagnoses,2021,Kansas,20,13-24,All races/ethnicities,Female,3,1.2,"241,844"
HIV diagnoses,2021,Kansas,20,55+,All races/ethnicities,Male,9,2.2,"404,649"
HIV diagnoses,2021,Kansas,20,45-54,All races/ethnicities,Male,17,10.2,"166,257"
HIV diagnoses,2021,Kansas,20,35-44,All races/ethnicities,Male,30,15.7,"191,448"
HIV diagnoses,2021,Kansas,20,25-34,All races/ethnicities,Male,45,23.1,"194,551"
HIV diagnoses,2021,Kansas,20,13-24,All races/ethnicities,Male,29,11.1,"260,512"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,55+,All races/ethnicities,Female,4,0.9,"448,623"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,45-54,All races/ethnicities,Female,6,3.7,"162,811"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,35-44,All races/ethnicities,Female,5,2.7,"182,720"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,25-34,All races/ethnicities,Female,3,1.6,"183,986"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,13-24,All races/ethnicities,Female,3,1.2,"240,902"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,55+,All races/ethnicities,Male,7,1.7,"402,077"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,45-54,All races/ethnicities,Male,10,6,"167,257"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,35-44,All races/ethnicities,Male,21,11.1,"189,269"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,25-34,All races/ethnicities,Male,56,28.7,"195,189"
HIV diagnoses,2020 (COVID-19 Pandemic),Kansas,20,13-24,All races/ethnicities,Male,25,9.7,"258,936"
HIV diagnoses,2019,Kansas,20,55+,All races/ethnicities,Female,3,0.7,"451,457"
HIV diagnoses,2019,Kansas,20,45-54,All races/ethnicities,Female,4,2.4,"163,839"
HIV diagnoses,2019,Kansas,20,35-44,All races/ethnicities,Female,8,4.5,"178,504"
HIV diagnoses,2019,Kansas,20,25-34,All races/ethnicities,Female,8,4.3,"185,376"
HIV diagnoses,2019,Kansas,20,13-24,All races/ethnicities,Female,5,2.1,"237,314"
HIV diagnoses,2019,Kansas,20,55+,All races/ethnicities,Male,9,2.3,"394,650"
HIV diagnoses,2019,Kansas,20,45-54,All races/ethnicities,Male,15,9.1,"164,018"
HIV diagnoses,2019,Kansas,20,35-44,All races/ethnicities,Male,18,9.9,"182,597"
HIV diagnoses,2019,Kansas,20,25-34,All races/ethnicities,Male,34,17.2,"197,506"
HIV diagnoses,2019,Kansas,20,13-24,All races/ethnicities,Male,28,11,"254,484"
HIV diagnoses,2018,Kansas,20,55+,All races/ethnicities,Female,7,1.6,"445,045"
HIV diagnoses,2018,Kansas,20,45-54,All races/ethnicities,Female,4,2.4,"167,703"
HIV diagnoses,2018,Kansas,20,35-44,All races/ethnicities,Female,4,2.3,"176,159"
HIV diagnoses,2018,Kansas,20,25-34,All races/ethnicities,Female,7,3.8,"186,439"
HIV diagnoses,2018,Kansas,20,13-24,All races/ethnicities,Female,4,1.7,"237,869"
HIV diagnoses,2018,Kansas,20,55+,All races/ethnicities,Male,4,1,"388,291"
HIV diagnoses,2018,Kansas,20,45-54,All races/ethnicities,Male,14,8.3,"167,898"
HIV diagnoses,2018,Kansas,20,35-44,All races/ethnicities,Male,28,15.5,"180,541"
HIV diagnoses,2018,Kansas,20,25-34,All races/ethnicities,Male,46,23.2,"198,132"
HIV diagnoses,2018,Kansas,20,13-24,All races/ethnicities,Male,37,14.4,"256,521"
Gonorrhea,2021,Kentucky,21,55+,All races/ethnicities,Female,43,5.9,"730,538"
Gonorrhea,2021,Kentucky,21,45-54,All races/ethnicities,Female,112,40.2,"278,437"
Gonorrhea,2021,Kentucky,21,35-44,All races/ethnicities,Female,486,173.1,"280,692"
Gonorrhea,2021,Kentucky,21,25-34,All races/ethnicities,Female,"1,327",458.2,"289,642"
Gonorrhea,2021,Kentucky,21,13-24,All races/ethnicities,Female,"2,008",577.5,"347,686"
Gonorrhea,2021,Kentucky,21,55+,All races/ethnicities,Male,182,28.5,"638,330"
Gonorrhea,2021,Kentucky,21,45-54,All races/ethnicities,Male,307,110,"279,197"
Gonorrhea,2021,Kentucky,21,35-44,All races/ethnicities,Male,716,253.5,"282,457"
Gonorrhea,2021,Kentucky,21,25-34,All races/ethnicities,Male,"1,662",554.9,"299,535"
Gonorrhea,2021,Kentucky,21,13-24,All races/ethnicities,Male,"1,337",364.7,"366,580"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,55+,All races/ethnicities,Female,28,3.9,"725,530"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,45-54,All races/ethnicities,Female,132,46.9,"281,678"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,35-44,All races/ethnicities,Female,484,173.2,"279,466"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,25-34,All races/ethnicities,Female,"1,302",451.7,"288,253"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,13-24,All races/ethnicities,Female,"2,167",628.6,"344,749"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,55+,All races/ethnicities,Male,171,27,"633,797"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,45-54,All races/ethnicities,Male,313,110.8,"282,493"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,35-44,All races/ethnicities,Male,735,261.3,"281,283"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,25-34,All races/ethnicities,Male,"1,568",526.1,"298,040"
Gonorrhea,2020 (COVID-19 Pandemic),Kentucky,21,13-24,All races/ethnicities,Male,"1,421",390,"364,336"
Gonorrhea,2019,Kentucky,21,55+,All races/ethnicities,Female,20,2.7,"727,854"
Gonorrhea,2019,Kentucky,21,45-54,All races/ethnicities,Female,86,30.2,"284,729"
Gonorrhea,2019,Kentucky,21,35-44,All races/ethnicities,Female,388,140.3,"276,619"
Gonorrhea,2019,Kentucky,21,25-34,All races/ethnicities,Female,"1,160",402.6,"288,130"
Gonorrhea,2019,Kentucky,21,13-24,All races/ethnicities,Female,"1,825",538.5,"338,881"
Gonorrhea,2019,Kentucky,21,55+,All races/ethnicities,Male,154,24.8,"620,999"
Gonorrhea,2019,Kentucky,21,45-54,All races/ethnicities,Male,283,101.5,"278,933"
Gonorrhea,2019,Kentucky,21,35-44,All races/ethnicities,Male,637,232.2,"274,334"
Gonorrhea,2019,Kentucky,21,25-34,All races/ethnicities,Male,"1,482",495.2,"299,250"
Gonorrhea,2019,Kentucky,21,13-24,All races/ethnicities,Male,"1,276",355.7,"358,749"
Gonorrhea,2018,Kentucky,21,55+,All races/ethnicities,Female,22,3.1,"716,103"
Gonorrhea,2018,Kentucky,21,45-54,All races/ethnicities,Female,74,25.4,"291,367"
Gonorrhea,2018,Kentucky,21,35-44,All races/ethnicities,Female,316,114.3,"276,410"
Gonorrhea,2018,Kentucky,21,25-34,All races/ethnicities,Female,"1,263",439.2,"287,544"
Gonorrhea,2018,Kentucky,21,13-24,All races/ethnicities,Female,"1,963",577.8,"339,722"
Gonorrhea,2018,Kentucky,21,55+,All races/ethnicities,Male,151,24.7,"610,152"
Gonorrhea,2018,Kentucky,21,45-54,All races/ethnicities,Male,320,112.2,"285,096"
Gonorrhea,2018,Kentucky,21,35-44,All races/ethnicities,Male,648,235.9,"274,669"
Gonorrhea,2018,Kentucky,21,25-34,All races/ethnicities,Male,"1,370",462.2,"296,412"
Gonorrhea,2018,Kentucky,21,13-24,All races/ethnicities,Male,"1,261",349.7,"360,611"
Chlamydia,2021,Kentucky,21,55+,All races/ethnicities,Female,64,8.8,"730,538"
Chlamydia,2021,Kentucky,21,45-54,All races/ethnicities,Female,152,54.6,"278,437"
Chlamydia,2021,Kentucky,21,35-44,All races/ethnicities,Female,674,240.1,"280,692"
Chlamydia,2021,Kentucky,21,25-34,All races/ethnicities,Female,"2,960",1022,"289,642"
Chlamydia,2021,Kentucky,21,13-24,All races/ethnicities,Female,"8,564",2463.1,"347,686"
Chlamydia,2021,Kentucky,21,55+,All races/ethnicities,Male,122,19.1,"638,330"
Chlamydia,2021,Kentucky,21,45-54,All races/ethnicities,Male,242,86.7,"279,197"
Chlamydia,2021,Kentucky,21,35-44,All races/ethnicities,Male,577,204.3,"282,457"
Chlamydia,2021,Kentucky,21,25-34,All races/ethnicities,Male,"1,977",660,"299,535"
Chlamydia,2021,Kentucky,21,13-24,All races/ethnicities,Male,"3,034",827.7,"366,580"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,55+,All races/ethnicities,Female,42,5.8,"725,530"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,45-54,All races/ethnicities,Female,133,47.2,"281,678"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,35-44,All races/ethnicities,Female,607,217.2,"279,466"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,25-34,All races/ethnicities,Female,"2,999",1040.4,"288,253"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,13-24,All races/ethnicities,Female,"8,821",2558.7,"344,749"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,55+,All races/ethnicities,Male,85,13.4,"633,797"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,45-54,All races/ethnicities,Male,186,65.8,"282,493"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,35-44,All races/ethnicities,Male,597,212.2,"281,283"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,25-34,All races/ethnicities,Male,"1,977",663.3,"298,040"
Chlamydia,2020 (COVID-19 Pandemic),Kentucky,21,13-24,All races/ethnicities,Male,"3,149",864.3,"364,336"
Chlamydia,2019,Kentucky,21,55+,All races/ethnicities,Female,38,5.2,"727,854"
Chlamydia,2019,Kentucky,21,45-54,All races/ethnicities,Female,128,45,"284,729"
Chlamydia,2019,Kentucky,21,35-44,All races/ethnicities,Female,614,222,"276,619"
Chlamydia,2019,Kentucky,21,25-34,All races/ethnicities,Female,"3,175",1101.9,"288,130"
Chlamydia,2019,Kentucky,21,13-24,All races/ethnicities,Female,"9,917",2926.4,"338,881"
Chlamydia,2019,Kentucky,21,55+,All races/ethnicities,Male,92,14.8,"620,999"
Chlamydia,2019,Kentucky,21,45-54,All races/ethnicities,Male,206,73.9,"278,933"
Chlamydia,2019,Kentucky,21,35-44,All races/ethnicities,Male,590,215.1,"274,334"
Chlamydia,2019,Kentucky,21,25-34,All races/ethnicities,Male,"2,184",729.8,"299,250"
Chlamydia,2019,Kentucky,21,13-24,All races/ethnicities,Male,"3,778",1053.1,"358,749"
Chlamydia,2018,Kentucky,21,55+,All races/ethnicities,Female,29,4,"716,103"
Chlamydia,2018,Kentucky,21,45-54,All races/ethnicities,Female,115,39.5,"291,367"
Chlamydia,2018,Kentucky,21,35-44,All races/ethnicities,Female,540,195.4,"276,410"
Chlamydia,2018,Kentucky,21,25-34,All races/ethnicities,Female,"3,070",1067.7,"287,544"
Chlamydia,2018,Kentucky,21,13-24,All races/ethnicities,Female,"9,250",2722.8,"339,722"
Chlamydia,2018,Kentucky,21,55+,All races/ethnicities,Male,75,12.3,"610,152"
Chlamydia,2018,Kentucky,21,45-54,All races/ethnicities,Male,171,60,"285,096"
Chlamydia,2018,Kentucky,21,35-44,All races/ethnicities,Male,544,198.1,"274,669"
Chlamydia,2018,Kentucky,21,25-34,All races/ethnicities,Male,"1,961",661.6,"296,412"
Chlamydia,2018,Kentucky,21,13-24,All races/ethnicities,Male,"3,481",965.3,"360,611"
HIV diagnoses,2021,Kentucky,21,55+,All races/ethnicities,Female,8,1.1,"730,538"
HIV diagnoses,2021,Kentucky,21,45-54,All races/ethnicities,Female,13,4.7,"278,437"
HIV diagnoses,2021,Kentucky,21,35-44,All races/ethnicities,Female,20,7.1,"280,692"
HIV diagnoses,2021,Kentucky,21,25-34,All races/ethnicities,Female,25,8.6,"289,642"
HIV diagnoses,2021,Kentucky,21,13-24,All races/ethnicities,Female,6,1.7,"347,686"
HIV diagnoses,2021,Kentucky,21,55+,All races/ethnicities,Male,21,3.3,"638,330"
HIV diagnoses,2021,Kentucky,21,45-54,All races/ethnicities,Male,43,15.4,"279,197"
HIV diagnoses,2021,Kentucky,21,35-44,All races/ethnicities,Male,75,26.6,"282,457"
HIV diagnoses,2021,Kentucky,21,25-34,All races/ethnicities,Male,125,41.7,"299,535"
HIV diagnoses,2021,Kentucky,21,13-24,All races/ethnicities,Male,54,14.7,"366,580"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,55+,All races/ethnicities,Female,5,0.7,"725,530"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,45-54,All races/ethnicities,Female,10,3.6,"281,678"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,35-44,All races/ethnicities,Female,11,3.9,"279,466"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,25-34,All races/ethnicities,Female,15,5.2,"288,253"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,13-24,All races/ethnicities,Female,3,0.9,"344,749"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,55+,All races/ethnicities,Male,19,3,"633,797"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,45-54,All races/ethnicities,Male,29,10.3,"282,493"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,35-44,All races/ethnicities,Male,68,24.2,"281,283"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,25-34,All races/ethnicities,Male,91,30.5,"298,040"
HIV diagnoses,2020 (COVID-19 Pandemic),Kentucky,21,13-24,All races/ethnicities,Male,49,13.4,"364,336"
HIV diagnoses,2019,Kentucky,21,55+,All races/ethnicities,Female,6,0.8,"727,931"
HIV diagnoses,2019,Kentucky,21,45-54,All races/ethnicities,Female,9,3.2,"284,823"
HIV diagnoses,2019,Kentucky,21,35-44,All races/ethnicities,Female,17,6.1,"276,960"
HIV diagnoses,2019,Kentucky,21,25-34,All races/ethnicities,Female,16,5.5,"288,922"
HIV diagnoses,2019,Kentucky,21,13-24,All races/ethnicities,Female,9,2.6,"339,657"
HIV diagnoses,2019,Kentucky,21,55+,All races/ethnicities,Male,19,3.1,"620,425"
HIV diagnoses,2019,Kentucky,21,45-54,All races/ethnicities,Male,33,11.8,"278,984"
HIV diagnoses,2019,Kentucky,21,35-44,All races/ethnicities,Male,57,20.8,"274,620"
HIV diagnoses,2019,Kentucky,21,25-34,All races/ethnicities,Male,103,34.3,"299,984"
HIV diagnoses,2019,Kentucky,21,13-24,All races/ethnicities,Male,57,15.8,"359,907"
HIV diagnoses,2018,Kentucky,21,55+,All races/ethnicities,Female,10,1.4,"716,179"
HIV diagnoses,2018,Kentucky,21,45-54,All races/ethnicities,Female,5,1.7,"291,466"
HIV diagnoses,2018,Kentucky,21,35-44,All races/ethnicities,Female,15,5.4,"276,661"
HIV diagnoses,2018,Kentucky,21,25-34,All races/ethnicities,Female,31,10.8,"288,025"
HIV diagnoses,2018,Kentucky,21,13-24,All races/ethnicities,Female,7,2.1,"340,324"
HIV diagnoses,2018,Kentucky,21,55+,All races/ethnicities,Male,20,3.3,"609,899"
HIV diagnoses,2018,Kentucky,21,45-54,All races/ethnicities,Male,40,14,"285,221"
HIV diagnoses,2018,Kentucky,21,35-44,All races/ethnicities,Male,64,23.3,"274,916"
HIV diagnoses,2018,Kentucky,21,25-34,All races/ethnicities,Male,112,37.7,"296,862"
HIV diagnoses,2018,Kentucky,21,13-24,All races/ethnicities,Male,73,20.2,"361,059"
Gonorrhea,2021,Louisiana,22,55+,All races/ethnicities,Female,50,6.8,"730,516"
Gonorrhea,2021,Louisiana,22,45-54,All races/ethnicities,Female,139,51.1,"271,756"
Gonorrhea,2021,Louisiana,22,35-44,All races/ethnicities,Female,614,199.3,"308,007"
Gonorrhea,2021,Louisiana,22,25-34,All races/ethnicities,Female,"2,036",647.3,"314,540"
Gonorrhea,2021,Louisiana,22,13-24,All races/ethnicities,Female,"4,994",1397.3,"357,404"
Gonorrhea,2021,Louisiana,22,55+,All races/ethnicities,Male,203,32.4,"626,684"
Gonorrhea,2021,Louisiana,22,45-54,All races/ethnicities,Male,330,125.5,"263,001"
Gonorrhea,2021,Louisiana,22,35-44,All races/ethnicities,Male,"1,122",372.6,"301,095"
Gonorrhea,2021,Louisiana,22,25-34,All races/ethnicities,Male,"2,770",887.9,"311,957"
Gonorrhea,2021,Louisiana,22,13-24,All races/ethnicities,Male,"4,114",1111,"370,297"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,55+,All races/ethnicities,Female,37,5.1,"726,199"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,45-54,All races/ethnicities,Female,126,45.6,"276,414"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,35-44,All races/ethnicities,Female,530,173.5,"305,469"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,25-34,All races/ethnicities,Female,"1,907",592.8,"321,668"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,13-24,All races/ethnicities,Female,"4,709",1320.7,"356,556"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,55+,All races/ethnicities,Male,273,43.8,"623,970"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,45-54,All races/ethnicities,Male,388,144.8,"267,945"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,35-44,All races/ethnicities,Male,"1,047",349.5,"299,541"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,25-34,All races/ethnicities,Male,"2,745",860.3,"319,076"
Gonorrhea,2020 (COVID-19 Pandemic),Louisiana,22,13-24,All races/ethnicities,Male,"3,711",1004,"369,636"
Gonorrhea,2019,Louisiana,22,55+,All races/ethnicities,Female,46,6.3,"731,473"
Gonorrhea,2019,Louisiana,22,45-54,All races/ethnicities,Female,108,38.4,"281,567"
Gonorrhea,2019,Louisiana,22,35-44,All races/ethnicities,Female,438,146.2,"299,636"
Gonorrhea,2019,Louisiana,22,25-34,All races/ethnicities,Female,"1,673",508,"329,323"
