"Date Printed: Tuesday, November 14, 2023 1:25:46 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+""""",,,,,,,,,
Footnote(s): Data for 2022 and 2023 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,
NA - Not applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Chlamydia,2021,Alabama,01,25-34,All races/ethnicities,Male,"2,607",804.9,"323,898"
Chlamydia,2021,Alabama,01,13-24,All races/ethnicities,Male,"4,918",1236.7,"397,682"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,55+,All races/ethnicities,Female,50,6,"835,439"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,45-54,All races/ethnicities,Female,117,36.5,"320,539"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,35-44,All races/ethnicities,Female,703,222.1,"316,592"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,25-34,All races/ethnicities,Female,"3,964",1193.3,"332,186"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,13-24,All races/ethnicities,Female,"13,205",3408.9,"387,374"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,55+,All races/ethnicities,Male,98,13.8,"710,447"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,45-54,All races/ethnicities,Male,216,70.2,"307,547"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,35-44,All races/ethnicities,Male,688,229.6,"299,624"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,25-34,All races/ethnicities,Male,"2,693",834.1,"322,868"
Chlamydia,2020 (COVID-19 Pandemic),Alabama,01,13-24,All races/ethnicities,Male,"5,189",1314.3,"394,818"
Chlamydia,2019,Alabama,01,55+,All races/ethnicities,Female,60,7.3,"823,478"
Chlamydia,2019,Alabama,01,45-54,All races/ethnicities,Female,147,46.2,"317,909"
Chlamydia,2019,Alabama,01,35-44,All races/ethnicities,Female,751,244.8,"306,726"
Chlamydia,2019,Alabama,01,25-34,All races/ethnicities,Female,"4,498",1374,"327,364"
Chlamydia,2019,Alabama,01,13-24,All races/ethnicities,Female,"15,760",4193.4,"375,826"
Chlamydia,2019,Alabama,01,55+,All races/ethnicities,Male,84,12.3,"684,026"
Chlamydia,2019,Alabama,01,45-54,All races/ethnicities,Male,276,92.4,"298,707"
Chlamydia,2019,Alabama,01,35-44,All races/ethnicities,Male,752,262.4,"286,580"
Chlamydia,2019,Alabama,01,25-34,All races/ethnicities,Male,"2,798",874.7,"319,865"
Chlamydia,2019,Alabama,01,13-24,All races/ethnicities,Male,"5,961",1554.4,"383,493"
Chlamydia,2018,Alabama,01,55+,All races/ethnicities,Female,43,5.3,"809,287"
Chlamydia,2018,Alabama,01,45-54,All races/ethnicities,Female,109,33.8,"322,927"
Chlamydia,2018,Alabama,01,35-44,All races/ethnicities,Female,616,201.8,"305,267"
Chlamydia,2018,Alabama,01,25-34,All races/ethnicities,Female,"3,917",1200.9,"326,160"
Chlamydia,2018,Alabama,01,13-24,All races/ethnicities,Female,"14,773",3912.1,"377,621"
Chlamydia,2018,Alabama,01,55+,All races/ethnicities,Male,83,12.4,"671,990"
Chlamydia,2018,Alabama,01,45-54,All races/ethnicities,Male,222,73,"304,098"
Chlamydia,2018,Alabama,01,35-44,All races/ethnicities,Male,588,205.3,"286,385"
Chlamydia,2018,Alabama,01,25-34,All races/ethnicities,Male,"2,502",788.4,"317,344"
Chlamydia,2018,Alabama,01,13-24,All races/ethnicities,Male,"5,386",1395.2,"386,041"
HIV diagnoses,2021,Alabama,01,55+,All races/ethnicities,Female,18,2.1,"843,891"
HIV diagnoses,2021,Alabama,01,45-54,All races/ethnicities,Female,21,6.6,"318,246"
HIV diagnoses,2021,Alabama,01,35-44,All races/ethnicities,Female,32,10,"319,622"
HIV diagnoses,2021,Alabama,01,25-34,All races/ethnicities,Female,38,11.4,"332,525"
HIV diagnoses,2021,Alabama,01,13-24,All races/ethnicities,Female,20,5.1,"390,813"
HIV diagnoses,2021,Alabama,01,55+,All races/ethnicities,Male,39,5.4,"717,299"
HIV diagnoses,2021,Alabama,01,45-54,All races/ethnicities,Male,46,15.1,"303,948"
HIV diagnoses,2021,Alabama,01,35-44,All races/ethnicities,Male,95,31.5,"301,703"
HIV diagnoses,2021,Alabama,01,25-34,All races/ethnicities,Male,186,57.4,"323,898"
HIV diagnoses,2021,Alabama,01,13-24,All races/ethnicities,Male,130,32.7,"397,682"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,55+,All races/ethnicities,Female,21,2.5,"835,439"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,45-54,All races/ethnicities,Female,23,7.2,"320,539"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,35-44,All races/ethnicities,Female,19,6,"316,592"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,25-34,All races/ethnicities,Female,48,14.4,"332,186"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,13-24,All races/ethnicities,Female,27,7,"387,374"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,55+,All races/ethnicities,Male,35,4.9,"710,447"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,45-54,All races/ethnicities,Male,43,14,"307,547"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,35-44,All races/ethnicities,Male,73,24.4,"299,624"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,25-34,All races/ethnicities,Male,165,51.1,"322,868"
HIV diagnoses,2020 (COVID-19 Pandemic),Alabama,01,13-24,All races/ethnicities,Male,136,34.4,"394,818"
HIV diagnoses,2019,Alabama,01,55+,All races/ethnicities,Female,21,2.5,"824,525"
HIV diagnoses,2019,Alabama,01,45-54,All races/ethnicities,Female,19,6,"318,041"
HIV diagnoses,2019,Alabama,01,35-44,All races/ethnicities,Female,26,8.5,"306,895"
HIV diagnoses,2019,Alabama,01,25-34,All races/ethnicities,Female,44,13.4,"328,003"
HIV diagnoses,2019,Alabama,01,13-24,All races/ethnicities,Female,24,6.4,"376,434"
HIV diagnoses,2019,Alabama,01,55+,All races/ethnicities,Male,37,5.4,"684,803"
HIV diagnoses,2019,Alabama,01,45-54,All races/ethnicities,Male,56,18.7,"298,811"
HIV diagnoses,2019,Alabama,01,35-44,All races/ethnicities,Male,92,32.1,"286,880"
HIV diagnoses,2019,Alabama,01,25-34,All races/ethnicities,Male,177,55.2,"320,516"
HIV diagnoses,2019,Alabama,01,13-24,All races/ethnicities,Male,139,36.2,"383,603"
HIV diagnoses,2018,Alabama,01,55+,All races/ethnicities,Female,13,1.6,"809,618"
